Question Text,Option 1,Option 2,Option 3,Option 4,ANSWER
Ethical hacking is also known as:,Illegal hacking,Penetration testing,Phishing,Cracking,2
The primary goal of ethical hacking is:,Steal data,Damage systems,Identify vulnerabilities,Hack anonymously,3
Ethical hackers must always:,Work secretly,Have permission,Avoid documentation,Hide results,2
Which phase involves gathering information about the target?,Scanning,Reconnaissance,Exploitation,Reporting,2
Ethical hacking is part of:,Cybercrime,Cybersecurity,Networking,Programming,2
A White Hat hacker is:,Malicious hacker,Ethical hacker,Beginner hacker,Script kiddie,2
Black Hat hackers:,Follow laws,Exploit systems illegally,Report vulnerabilities,Work for companies,3
Grey Hat hackers:,Always legal,Always illegal,Operate between ethical and unethical,Do not hack,3
Script kiddies are:,Expert hackers,Beginners using tools,Ethical professionals,Cyber police,2
Hacktivists are motivated by:,Money,Politics or ideology,Learning,Fun,2
Ethical hacking must follow:,Personal interest,Legal guidelines,Random rules,No rules,1
Confidentiality means:,Data is accurate,Data is hidden,Data is accessible only to authorized users,Data is deleted,1
Integrity refers to:,Data secrecy,Data accuracy,Data speed,Data duplication,1
Availability ensures:,Data is always secret,Data is always accessible,Data is always deleted,Data is encrypted,3
Ethical hackers must not:,Document findings,Misuse data,Follow rules,Report issues,3
Ethical hacking without permission is:,Legal,Illegal,Ethical,Safe,2
Cyber laws regulate:,Hardware,Internet usage and crimes,Electricity,Databases only,2
Unauthorized access is considered:,Legal testing,Cybercrime,Ethical behavior,Debugging,2
Legal permission is usually documented as:,Contract,Report,Code,License,4
Violating cyber laws may result in:,Rewards,Penalties,Promotion,Certification,2
The second phase after reconnaissance is:,Reporting,Scanning,Cleaning,Exploiting,2
Exploitation means:,Fixing bugs,Using vulnerabilities,Reporting issues,Monitoring systems,1
Final phase in ethical hacking is:,Hacking,Reporting,Scanning,Accessing,2
Vulnerability is:,Strength,Weakness,Tool,Program,2
Penetration testing simulates:,Real attacks,Legal audits,Software design,Data storage,1
Responsible disclosure means:,Public announcement immediately,Reporting to vendor first,Selling vulnerabilities,Ignoring issues,2
Full disclosure involves:,Private reporting,Public release immediately,No reporting,Government reporting,2
The purpose of responsible disclosure is:,Fame,Prevent misuse,Delay fixes,Hide bugs,3
A vulnerability report should include:,Only name,Detailed description,No evidence,Fake data,2
Coordinated disclosure ensures:,Immediate exposure,Vendor response time,Data loss,System crash,2
Ethical hacking requires:,Authorization,Exploitation,Secrecy,Illegal access,1
Malicious hacking aims to:,Protect systems,Harm systems,Improve security,Audit systems,3
Ethical hackers work for:,Criminal groups,Organizations,Hackers,Unknown entities,2
Consent in ethical hacking is:,Optional,Mandatory,Illegal,Ignored,2
Ethical hacking improves:,System weakness,Security posture,Vulnerability count,Cybercrime,1
Phishing is:,Security measure,Social engineering attack,Encryption method,Firewall,2
Social engineering targets:,Machines,Humans,Servers,Databases,2
A firewall is used to:,Hack systems,Protect networks,Delete files,Store data,4
Encryption ensures:,Data loss,Data secrecy,Data duplication,Data access,2
Malware is:,Security tool,Malicious software,Network device,Protocol,2
Testing without scope is:,Ethical,Illegal,Recommended,Safe,2
Scope defines:,Budget,Testing boundaries,Tools,Hackers,2
NDA stands for:,Network Data Access,Non-Disclosure Agreement,New Data Analysis,Network Defense Act,2
Data theft is:,Legal,Ethical,Cybercrime,Testing,1
Ethical hackers must maintain:,Secrecy of vulnerabilities,Transparency with clients,Illegal access,Data leaks,2
Zero-day vulnerability is:,Known bug,Unknown vulnerability,Fixed issue,Legal flaw,3
Bug bounty programs encourage:,Illegal hacking,Responsible reporting,Data theft,Malware creation,2
Penetration testing tools are used for:,Attacking users,Security assessment,Data mining,Programming,2
Ethical hackers should follow:,Personal ethics only,Professional code of conduct,No rules,Illegal practices,1
The ultimate goal of ethical hacking is:,Break systems,Improve security,Steal data,Gain fame,2
